NumConjunto;NumOperacoes
555;62693417
556;63023038
557;63353914
558;63686059
559;64019475
560;64354246
561;64690276
562;65027579
563;65366157
564;65706034
565;66047198
566;66389663
567;66733431
568;67078546
569;67424968
570;67772711
571;68121777
572;68472190
573;68823938
574;69177035
575;69531483
576;69887606
577;70244972
578;70603595
579;70963477
580;71324642
581;71687078
582;72050799
583;72415807
584;72782146
585;73149776
586;73518711
587;73888953
588;74260526
589;74633418
590;75007643
591;75383203
592;75760182
593;76138484
594;76518123
595;76899101
596;77281442
597;77665134
598;78050191
599;78436615
600;78824450
601;79213656
602;79604247
603;79996225
604;80389614
605;80784402
606;81180603
607;81578219
608;81977414
609;82377980
610;82779931
611;83183269
612;83588018
613;83994166
614;84401727
615;84810703
616;85221138
617;85632992
618;86046279
619;86461001
620;86877182
621;87294810
622;87713899
623;88134451
624;88556550
625;88980100
626;89405115
627;89831597
628;90259570
629;90689022
630;91119967
631;91552407
632;91986386
633;92421864
634;92858855
635;93297361
636;93737406
637;94178978
638;94622091
639;95066747
640;95513590
641;95961740
642;96411211
643;96862005
644;97314146
645;97767622
646;98222447
647;98678623
648;99136194
649;99595120
650;100055415
651;100517081
652;100980142
653;101444586
654;101910427
655;102377667
656;102846390
657;103316500
658;103788011
659;104260925
660;104735266
661;105211022
662;105688207
663;106166823
664;106646914
665;107128440
666;107611415
667;108095841
668;108581742
669;109069106
670;109557947
671;110048267
672;110540230
673;111033628
674;111528475
675;112024773
676;112522546
677;113021782
678;113522495
679;114024687
680;114528402
681;115033600
682;115540295
683;116048489
684;116558206
685;117069434
686;117582187
687;118096467
688;118612358
689;119129764
690;119648699
691;120169165
692;120691186
693;121214750
694;121739871
695;122266551
696;122794834
697;123324680
698;123856103
699;124389105
700;124923710
701;125459906
702;125997707
703;126537115
704;127078454
705;127621292
706;128165643
707;128711509
708;129258914
709;129807846
710;130358319
711;130910335
712;131463938
713;132019088
714;132575799
715;133134073
716;133693934
717;134255370
718;134818395
719;135383011
720;135949302
721;136517172
722;137086635
723;137657693
724;138230370
725;138804654
726;139380559
727;139958087
728;140537282
729;141118104
730;141700567
731;142284673
732;142870446
733;143457874
734;144046971
735;144637739
736;145230342
737;145824572
738;146420443
739;147017957
740;147617138
741;148217974
742;148820479
743;149424655
744;150030546
745;150638112
746;151247367
747;151858313
748;152470974
749;153085338
750;153701419
751;154319219
752;154938822
753;155560132
754;156183163
755;156807917
756;157434418
