NumConjunto;NumOperacoes
589;3462233
590;3474800
591;3487388
592;3499997
593;3512627
594;3525287
595;3537969
596;3550673
597;3563399
598;3576147
599;3588934
600;3601743
601;3614574
602;3627427
603;3640302
604;3653208
605;3666136
606;3679086
607;3692058
608;3705052
609;3718077
610;3731124
611;3744193
612;3757284
613;3770397
614;3783541
615;3796707
616;3809895
617;3823105
618;3836337
619;3849600
620;3862886
621;3876195
622;3889527
623;3902882
624;3916284
625;3929708
626;3943154
627;3956622
628;3970112
629;3983633
630;3997176
631;4010741
632;4024328
633;4037937
634;4051577
635;4065239
636;4078923
637;4092629
638;4106357
639;4120116
640;4133897
641;4147700
642;4161525
643;4175372
644;4189250
645;4203151
646;4217075
647;4231022
648;4244992
649;4259002
650;4273034
651;4287088
652;4301164
653;4315262
654;4329391
655;4343542
656;4357715
657;4371910
658;4386127
659;4400375
660;4414645
661;4428937
662;4443251
663;4457587
664;4471954
665;4486343
666;4500754
667;4515187
668;4529642
669;4544128
670;4558637
671;4573169
672;4587724
673;4602302
674;4616920
675;4631560
676;4646222
677;4660906
678;4675612
679;4690349
680;4705108
681;4719889
682;4734692
683;4749517
684;4764373
685;4779251
686;4794151
687;4809073
688;4824017
689;4838992
690;4853989
691;4869008
692;4884049
693;4899112
694;4914206
695;4929323
696;4944463
697;4959626
698;4974812
699;4990038
700;5005286
701;5020556
702;5035848
703;5051162
704;5066507
705;5081874
706;5097263
707;5112674
708;5128107
709;5143571
710;5159057
711;5174565
712;5190095
713;5205647
714;5221230
715;5236835
716;5252462
717;5268111
718;5283782
719;5299484
720;5315209
721;5330957
722;5346728
723;5362522
724;5378356
725;5394213
726;5410093
727;5425996
728;5441922
729;5457880
730;5473861
731;5489865
732;5505892
733;5521942
734;5538024
735;5554129
736;5570257
737;5586408
738;5602582
739;5618788
740;5635017
741;5651269
742;5667544
743;5683842
744;5700172
745;5716526
746;5732904
747;5749306
748;5765732
749;5782207
750;5798704
751;5815223
752;5831764
753;5848327
754;5864921
755;5881537
756;5898175
757;5914835
758;5931517
759;5948230
760;5964965
761;5981722
762;5998501
763;6015302
764;6032134
765;6048988
766;6065864
767;6082762
768;6099682
769;6116633
770;6133607
771;6150604
772;6167624
773;6184667
774;6201750
775;6218855
776;6235982
777;6253131
778;6270302
779;6287504
780;6304728
781;6321974
782;6339242
783;6356532
784;6373853
785;6391196
786;6408561
787;6425948
788;6443357
789;6460797
790;6478259
791;6495743
792;6513249
793;6530777
794;6548336
795;6565918
796;6583523
797;6601151
798;6618802
799;6636493
800;6654206
801;6671941
802;6689698
803;6707477
804;6725287
805;6743119
806;6760973
807;6778849
808;6796747
809;6814676
810;6832627
811;6850600
812;6868595
813;6886612
814;6904660
815;6922730
816;6940822
817;6958936
818;6977072
819;6995239
820;7013429
821;7031642
822;7049878
823;7068137
824;7086436
825;7104757
826;7123100
827;7141465
828;7159852
829;7178270
830;7196710
831;7215172
832;7233656
833;7252162
834;7270699
835;7289258
836;7307839
837;7326442
838;7345067
839;7363723
840;7382401
841;7401101
842;7419823
843;7438567
844;7457342
845;7476140
846;7494961
847;7513805
848;7532672
849;7551579
850;7570509
851;7589462
852;7608438
853;7627437
854;7646468
855;7665522
856;7684599
857;7703699
858;7722822
859;7741977
860;7761155
861;7780356
862;7799580
863;7818827
864;7838106
865;7857408
866;7876733
867;7896081
868;7915452
869;7934855
870;7954282
871;7973733
872;7993208
873;8012707
874;8032255
875;8051825
876;8071417
877;8091031
878;8110667
879;8130334
880;8150023
881;8169734
882;8189467
883;8209222
884;8229008
885;8248816
886;8268646
887;8288498
888;8308372
889;8328277
890;8348204
891;8368153
892;8388124
893;8408117
894;8428141
895;8448188
896;8468258
897;8488351
898;8508467
899;8528623
900;8548801
901;8569001
902;8589223
903;8609467
904;8629742
905;8650039
906;8670358
907;8690699
908;8711062
909;8731456
910;8751872
911;8772310
912;8792770
913;8813252
914;8833765
915;8854300
916;8874857
917;8895436
918;8916037
919;8936669
920;8957324
921;8978002
922;8998703
923;9019427
924;9040191
925;9060977
926;9081785
927;9102615
928;9123467
929;9144350
930;9165255
931;9186182
932;9207131
933;9228102
934;9249104
935;9270128
936;9291174
937;9312242
938;9333332
939;9354453
940;9375596
941;9396761
942;9417948
943;9439157
944;9460397
945;9481660
946;9502946
947;9524255
948;9545587
949;9566959
950;9588353
951;9609769
952;9631207
953;9652667
954;9674158
955;9695671
956;9717206
957;9738763
958;9760342
959;9781952
960;9803584
961;9825238
962;9846914
963;9868612
964;9890341
965;9912092
966;9933865
967;9955660
968;9977477
969;9999325
970;10021196
971;10043090
972;10065007
973;10086947
974;10108927
975;10130930
976;10152956
977;10175005
978;10197077
979;10219181
980;10241308
981;10263458
982;10285631
983;10307827
984;10330055
985;10352306
986;10374580
987;10396877
988;10419197
989;10441549
990;10463924
991;10486322
992;10508743
993;10531187
994;10553663
995;10576163
996;10598687
997;10621235
998;10643807
999;10666428
1000;10689071
